"id","pin","address","managing_organization","property_status","date_of_acquisition","date_of_disposition","sales_status","sale_offering_status","sale_offering_reason","sq_ft","square_footage_city_estimate","land_value","ward","community_area_number","community_area_name","zoning_classification","zip_code","last_update","application_use","grouped_parcels","application_deadline","offer_round","application_url","x_coordinate","y_coordinate","latitude","longitude","location"
"8951","16-11-113-012-0000","645 N AVERS AVE","None","Sold",,,,,,"0.0",,,"27","23","HUMBOLDT PARK","RS-3","60624","03/14/2024",,,,,,"1150697.65979713","1904221.74241969","41.893081370545126","-87.7219954234726","
,  
(41.893081370545126, -87.7219954234726)"
"61885","16-23-405-018-0000","3322 W OGDEN AVE","None","Not City Owned",,,,,,"0.0",,,"24","29","NORTH LAWNDALE","RT-4","60623","03/14/2024",,,,,,"1154380.12139972","1891144.26551333","41.85712260856481","-87.70882050666111","
,  
(41.85712260856481, -87.70882050666111)"
"9771","16-22-226-013-0000","1535 S TRIPP AVE","None","Sold","1991-03-26T00:00:00.000","2006-02-01T00:00:00.000",,,,"3148.0",,,"24","29","NORTH LAWNDALE","RT-4","60623","03/14/2024",,,,,,"1148401.81820371","1891993.29529654","41.85956967773362","-87.73074256859663","
,  
(41.85956967773362, -87.73074256859663)"
"12342","17-18-100-002-0000","2355 W MADISON ST","None","Sold","2000-07-15T00:00:00.000","2012-01-26T00:00:00.000",,,,"2854.0",,,"27","28","NEAR WEST SIDE","B3-3","60612","03/14/2024",,,,,,"1160504.82876892","1899852.16095316","41.88089346350384","-87.68609832411938","
,  
(41.88089346350384, -87.68609832411938)"
"20670","20-20-430-026-0000","7040 S GREEN ST","DPD - Large Lots","Sold",,,,,,"0.0",,,"16","68","ENGLEWOOD","RT-4","60621","03/14/2024",,,,,,"1171759.96446451","1857989.71045818","41.76577856829791","-87.64600021273561","
,  
(41.76577856829791, -87.64600021273561)"
"22351","25-24-423-009-0000",,"Park District","Leased","2001-10-19T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22495","25-24-428-014-0000",,"Park District","Leased","2002-04-16T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"16951","20-18-407-016-0000","5942 S MARSHFIELD AVE","DPD - Large Lots","Sold",,,,,,"0.0",,,"15","67","WEST ENGLEWOOD","RS-3","60636","03/14/2024",,,,,,"1166265.98994023","1865140.1299959","41.78551895225287","-87.66593409286386","
,  
(41.78551895225287, -87.66593409286386)"
"22472","25-24-423-035-0000","12034 S TORRENCE AVE","Park District","Leased","2001-11-06T00:00:00.000",,,,,"0.0",,,"10","51","SOUTH DEERING","POS-3","0","03/14/2024",,,,,,"1195615.16015808","1825591.78994387","41.67631935648049","-87.55963150685092","
,  
(41.67631935648049, -87.55963150685092)"
"23717","25-02-410-023-0000","9248 S BLACKSTONE AVE","None","Sold",,,,,,"3848.0",,,"8","48","CALUMET HEIGHTS","RS-2","60619","03/14/2024",,,,,,"1187685.38689842","1843732.2484117","41.72629066345844","-87.58808145171574","
,  
(41.72629066345844, -87.58808145171574)"
"20188","20-23-413-018-0000","1428 E 69TH PL","DPD - Large Lots","Sold",,"2017-12-14T00:00:00.000",,,,"0.0",,,"5","43","SOUTH SHORE","RT-4","60637","03/14/2024",,,,,,"1187091.95968817","1859294.23701458","41.76900836157893","-87.58976258243905","
,  
(41.76900836157893, -87.58976258243905)"
"13265","16-23-208-012-0000","3521 W 13TH PL","None","Sold",,,,,,"0.0",,,"24","29","NORTH LAWNDALE","RT-4","60623","03/14/2024",,,,,,"1153006.74000001","1893562.52000002","41.86378587675795","-87.71379757109011","
,  
(41.86378587675795, -87.71379757109011)"
"23983","25-24-208-004-0000",,"Park District","Leased","2001-10-10T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"10625","16-22-210-009-0000","1327 S KILDARE AVE","None","Sold",,,,,,"3142.0",,,"24","29","NORTH LAWNDALE","RT-4","60623","03/14/2024",,,,,,"1148026.41157041","1893399.21470653","41.863434915901664","-87.73208444758454","
,  
(41.863434915901664, -87.73208444758454)"
"33903","16-14-206-027-0000","110 S SPAULDING AVE","None","Sold",,,,,,"0.0",,,"28","27","EAST GARFIELD PARK","PD 1141","0","03/14/2024",,,,,,"1154379.49964781","1899189.46203015","41.87919951032942","-87.70860788003165","
,  
(41.87919951032942, -87.70860788003165)"
"13203","16-23-321-001-0000","1901 S HAMLIN AVE","None","Sold",,,,,,"2900.0",,,"24","29","NORTH LAWNDALE","RT-4","60623","03/14/2024",,,,,,"1151449.24993968","1890321.98999556","41.85492418026179","-87.71960010828083","
,  
(41.85492418026179, -87.71960010828083)"
"15305","20-03-416-015-0000","4539 S VINCENNES AVE","None","Sold","1982-03-12T00:00:00.000","2014-10-31T00:00:00.000",,,,"1974.0",,,"3","38","GRAND BOULEVARD","RM-5","60653","03/14/2024",,,,,,"1180474.59621727","1874881.24206808","41.81193496359538","-87.61354005278329","
,  
(41.81193496359538, -87.61354005278329)"
"11170","16-12-421-016-0000","2719 W WASHINGTON BLVD","DPD - Large Lots","Sold","1999-02-18T00:00:00.000","2015-04-24T00:00:00.000",,,,"2357.0",,,"27","27","EAST GARFIELD PARK","RT-4","60612","03/14/2024",,,,,,"1158149.12114082","1900468.12567387","41.882632154038376","-87.69473149478786","
,  
(41.882632154038376, -87.69473149478786)"
"11524","16-12-317-012-0000","3127 W LAKE ST","None","Sold","2001-06-29T00:00:00.000","2018-01-18T00:00:00.000",,,,"0.0",,,"27","27","EAST GARFIELD PARK","C3-1","60612","03/14/2024",,,,,,"1155394.76268614","1900925.58540233","41.88394326608099","-87.70483330576195","
,  
(41.88394326608099, -87.70483330576195)"
"15751","20-02-308-014-0000","4427 S BERKELEY AVE","None","Sold",,,,,,"1800.0",,,"4","39","KENWOOD","RT-4","60653","03/14/2024",,,,,,"1184080.41987416","1875781.44005937","41.81432153457651","-87.60028599832957","
,  
(41.81432153457651, -87.60028599832957)"
"16609","20-16-319-013-0000","517 W 61ST PL","DPD - Large Lots","Sold",,,,,,"0.0",,,"20","68","ENGLEWOOD","RS-3","60621","03/14/2024",,,,,,"1173816.86957774","1864045.08329672","41.782349852788855","-87.63828161200611","
,  
(41.782349852788855, -87.63828161200611)"
"8869","16-10-421-029-0000","4020 W WASHINGTON BLVD","None","Sold","1992-07-30T00:00:00.000","1995-08-18T00:00:00.000",,,,"4500.0",,,"28","26","WEST GARFIELD PARK","RT-4","60624","03/14/2024",,,,,,"1149466.3002205","1900327.17535026","41.88241824419076","-87.72661891173559","
,  
(41.88241824419076, -87.72661891173559)"
"68422","20-21-308-034-0000","6812 S LOWE AVE","None","Owned by City","1979-08-29T00:00:00.000",,,,,"0.0",,,"6","68","ENGLEWOOD","RT-4","60621","03/14/2024",,,,,,"1173278.0324858918","1859647.0892335947","41.770293188993584","-87.64038705873747","
,  
(41.770293188993584, -87.64038705873747)"
"11101","16-12-416-039-0000","2532 W MAYPOLE AVE","DPD - Business Development","Owned by City",,,"None","CBB 2022-2023 not offered due to:","Prior sale in progress","0.0",,,"27","28","NEAR WEST SIDE","PMD-4","0","03/14/2024",,,,,,"1159458.12083293","1900951.71031451","41.88393232454255","-87.68991149253006","
,  
(41.88393232454255, -87.68991149253006)"
"11706","16-13-224-017-0000","2617 W GLADYS AVE","None","Sold",,,,,,"2500.0",,,"28","27","EAST GARFIELD PARK","M1-3","60612","03/14/2024",,,,,,"1158916.72993508","1898262.17008362","41.87656309623797","-87.69197334350895","
,  
(41.87656309623797, -87.69197334350895)"
"23343","25-25-203-001-0000",,"DPD - Open Space","Owned by City","2001-11-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22132","25-24-421-016-0000",,"Park District","Leased","2001-10-19T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"61951","20-23-107-003-0000",,"None","Sold","1997-01-03T00:00:00.000","2016-06-01T00:00:00.000",,,,"0.0",,,,,,,"00000","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22006","25-24-414-003-0000",,"Park District","Leased","2001-10-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"8383","16-05-406-001-0000","5659 W DIVISION ST","None","Sold",,,,,,"3447.0",,,"29","25","AUSTIN","B3-1","60651","03/14/2024",,,,,,"1138180.4048451","1907339.26587732","41.90187177292711","-87.76789176101018","
,  
(41.90187177292711, -87.76789176101018)"
"22857","25-25-213-045-0000",,"Park District","Leased","2002-01-23T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"8038","16-01-326-004-0000","871 N MOZART ST","None","Sold",,,,,,"3379.0",,,"36","24","WEST TOWN","RS-3","60622","03/14/2024",,,,,,"1157314.19993548","1905958.03000447","41.897713963218365","-87.69764800935762","
,  
(41.897713963218365, -87.69764800935762)"
"23395","25-24-406-014-0000",,"Park District","Leased","2001-10-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24986","26-31-401-047-0000","13464 S BALTIMORE AVE","Other","Owned by City","2001-01-18T00:00:00.000",,,,,"0.0",,,"10","55","HEGEWISCH","C1-1","60633","03/14/2024",,,,,,"1199025.64148168","1816013.11959378","41.64994970727393","-87.54746824852703","
,  
(41.64994970727393, -87.54746824852703)"
"21187","20-20-222-028-0000","6518 S GREEN ST","DPD - Large Lots","Sold",,"2018-01-29T00:00:00.000",,,,"0.0",,,"16","68","ENGLEWOOD","RS-3","60621","03/14/2024",,,,,,"1171665.89355648","1861526.47718368","41.77548594504424","-87.64624145045453","
,  
(41.77548594504424, -87.64624145045453)"
"23440","25-25-204-008-0000",,"Park District","Leased","2002-08-26T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"15300","20-03-225-005-0000","4215 S CHAMPLAIN AVE","DPD - Large Lots","Sold","1999-07-19T00:00:00.000","2020-07-06T00:00:00.000",,,,"0.0",,,"4","38","GRAND BOULEVARD","RT-4","60653","03/14/2024",,,,,,"1181400.06916205","1877121.40038315","41.81806081138112","-87.6100763248597","
,  
(41.81806081138112, -87.6100763248597)"
"20977","20-22-223-034-0000","6554 S COTTAGE GROVE AVE","None","Sold",,,,,,"0.0",,,"20","42","WOODLAWN","C1-2","60637","03/14/2024",,,,,,"1182584.94865749","1861501.76732198","41.775171771962","-87.60621451292482","
,  
(41.775171771962, -87.60621451292482)"
"22283","25-25-208-014-0000",,"DPD - Open Space","Owned by City","2001-10-03T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"15602","17-34-311-037-0000","3657 S GILES AVE","DPD - Large Lots","Sold",,"2018-03-19T00:00:00.000",,,,"0.0",,,"3","35","DOUGLAS","RM-5","60653","03/14/2024",,,,,,"1178962.66947204","1880597.31043262","41.82765493473402","-87.61891137583639","
,  
(41.82765493473402, -87.61891137583639)"
"23652","25-15-120-069-0000","10612 S EDBROOKE AVE","None","Sold",,,,,,"3751.0",,,"9","49","ROSELAND","RS-3","60628","03/14/2024",,,,,,"1179048.02650017","1834534.0152988","41.701250342134664","-87.6199997225856","
,  
(41.701250342134664, -87.6199997225856)"
"59350","20-17-129-018-0000","5822 S THROOP ST","DPD - Open Space","Owned by City","2018-11-20T00:00:00.000",,,,,"0.0",,,"16","67","WEST ENGLEWOOD","M1-1","00000","03/14/2024",,,,,,"1168556.37273747","1866037.84114152","41.787933286083366","-87.65751061917425","
,  
(41.787933286083366, -87.65751061917425)"
"11488","16-13-212-039-0000","2718 W JACKSON BLVD","DPD - Large Lots","Sold",,,,,,"3108.0",,,"27","27","EAST GARFIELD PARK","RT-4","60612","03/14/2024",,,,,,"1158215.41966748","1898676.13497104","41.87771340748686","-87.69453702224907","
,  
(41.87771340748686, -87.69453702224907)"
"24762","25-17-304-005-0000","1349 W 107TH ST","None","Sold",,,,,,"4153.0",,,"21","75","MORGAN PARK","RT-4","60643","03/14/2024",,,,,,"1169046.05075181","1833709.13308807","41.69920823350262","-87.65664730209454","
,  
(41.69920823350262, -87.65664730209454)"
"51173","20-09-421-005-0000","5309 S LA SALLE ST","AIS","Owned by City","1967-01-04T00:00:00.000",,,,,"0.0",,,"20","37","FULLER PARK","M1-2","0","03/14/2024",,,,,,"1176195.17457476","1869697.11044959","41.797806504009394","-87.6293924590185","
,  
(41.797806504009394, -87.6293924590185)"
"12161","17-20-315-002-0000","1807 S THROOP ST","None","Sold",,,,,,"0.0",,,"25","31","LOWER WEST SIDE","B3-5","60608","03/14/2024",,,,,,"1168083.15994067","1891442.35999592","41.85765609116136","-87.65851410030244","
,  
(41.85765609116136, -87.65851410030244)"
"24614","25-09-402-004-0000","247 W 99TH ST","None","Sold",,,,,,"6250.0",,,"9","49","ROSELAND","RS-2","60628","03/14/2024",,,,,,"1176167.31533178","1839192.70104622","41.71409942711485","-87.6304086218571","
,  
(41.71409942711485, -87.6304086218571)"
"22783","26-05-101-021-0000","8712 S MACKINAW AVE","None","Sold",,,,,,"3525.0",,,"10","46","SOUTH CHICAGO","RS-2","60617","03/14/2024",,,,,,"1199827.51993432","1847756.70000365","41.73703698972859","-87.54346943055468","
,  
(41.73703698972859, -87.54346943055468)"
"22397","25-25-209-002-0000",,"DPD - Open Space","Owned by City","2001-12-13T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"18442","20-10-306-032-0000","346 E 53RD ST","None","Sold",,,,,,"0.0",,,"3","40","WASHINGTON PARK","RM-6","60615","03/14/2024",,,,,,"1179512.05078164","1870040.89431525","41.79867469794175","-87.6172185331218","
,  
(41.79867469794175, -87.6172185331218)"
"47532","13-12-316-011-0000","4823 N SACRAMENTO AVE","DPD - Open Space","Leased","2009-07-28T00:00:00.000",,,,,"0.0",,,"33","14","ALBANY PARK","POS-1","60625","03/14/2024",,,,,,"1155551.19101318","1931980.36014836","41.969156832468634","-87.70342113855654","
,  
(41.969156832468634, -87.70342113855654)"
"23910","25-04-101-009-0000","8725 S EMERALD AVE","None","Sold","1991-03-26T00:00:00.000","1995-10-18T00:00:00.000",,,,"6281.0",,,"21","71","AUBURN GRESHAM","RS-2","60620","03/14/2024",,,,,,"1172933.55993644","1846869.22000834","41.73523670717144","-87.64202610049607","
,  
(41.73523670717144, -87.64202610049607)"
"50893","20-20-205-019-0000","6357 S SANGAMON ST","None","Sold","1993-11-11T00:00:00.000","2018-12-18T00:00:00.000",,,,"0.0",,,"16","68","ENGLEWOOD","RT-4","60621","03/14/2024",,,,,,"1171168.33056728","1862452.7441404","41.77803862583881","-87.64803839820475","
,  
(41.77803862583881, -87.64803839820475)"
"22244","25-24-422-016-0000",,"Park District","Leased","2001-10-19T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"21208","20-21-205-021-0000","6426 S YALE AVE","None","Sold",,,,,,"4493.0",,,"6","68","ENGLEWOOD","RT-4","60621","03/14/2024",,,,,,"1175488.87543195","1862206.62539995","41.77726767476459","-87.6322065578006","
,  
(41.77726767476459, -87.6322065578006)"
"18617","20-10-311-027-0000","5340 S PRAIRIE AVE","None","Sold",,,,,,"0.0",,,"3","40","WASHINGTON PARK","RM-5","60615","03/14/2024",,,,,,"1178821.14971901","1869491.2399966","41.79718216255095","-87.61976892434812","
,  
(41.79718216255095, -87.61976892434812)"
"23110","25-25-201-017-0000",,"DPD - Open Space","Owned by City","2001-10-18T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"7489","11-30-214-003-0000","1709 N HERMITAGE AVE","None","Sold",,,,,,"0.0",,,"32","24","WEST TOWN","RS-3","60622","03/14/2024",,,,,,"1163266.27199061","1951304.9286931","42.02202484752743","-87.67450616650603","
,  
(42.02202484752743, -87.67450616650603)"
"22931","25-24-216-045-0000",,"Park District","Leased","2001-07-13T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"14453","20-03-304-043-0000","4356 S CALUMET AVE","None","Sold",,,,,,"0.0",,,"3","38","GRAND BOULEVARD","POS-2","60653","03/14/2024",,,,,,"1179063.72","1875962.29000001","41.8149337609832","-87.61868207936955","
,  
(41.8149337609832, -87.61868207936955)"
"15902","19-21-207-039-0000","6340 S CICERO AVE","None","Sold",,,,,,"15508.0",,,"13","64","CLEARING","B1-1","60638","03/14/2024",,,,,,"1145366.43770612","1861966.60998016","41.77722989646935","-87.742642369341","
,  
(41.77722989646935, -87.742642369341)"
"15398","19-11-201-030-0000","4844 S KEDZIE AVE","Other","Owned by City","1988-07-08T00:00:00.000",,,,,"0.0",,,"14","58","BRIGHTON PARK","M2-3","60632","03/14/2024",,,,,,"1155708.65633322","1872084.56883105","41.80479382460864","-87.7044561572237","
,  
(41.80479382460864, -87.7044561572237)"
"10984","16-12-416-008-0000","2555 W LAKE ST","DPD - Business Development","Owned by City",,,"None","CBB 2022-2023 not offered due to:","Prior sale in progress","0.0",,,"27","28","NEAR WEST SIDE","PMD-4","60612","03/14/2024",,,,,,"1159253.35733424","1901058.18929452","41.884228722919104","-87.69066047757397","
,  
(41.884228722919104, -87.69066047757397)"
"17862","20-14-316-017-0000","6216 S GREENWOOD AVE","None","Sold","1976-10-27T00:00:00.000","1996-08-08T00:00:00.000",,,,"4325.0",,,"20","42","WOODLAWN","RM-5","60637","03/14/2024",,,,,,"1184275.5108538","1863919.76626292","41.781767586306955","-87.59994160717957","
,  
(41.781767586306955, -87.59994160717957)"
"22361","25-24-423-020-0000",,"Park District","Leased","2001-10-03T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"50625","17-33-304-002-0000","3535 S WALLACE ST","Other","Owned by City",,,,,,"0.0",,,"11","60","BRIDGEPORT","RS-3","60609","03/14/2024",,,,,,"1172974.94010423","1881332.72994049","41.82980752847776","-87.64085768510614","
,  
(41.82980752847776, -87.64085768510614)"
"7565","13-17-314-076-0000","6100 W IRVING PARK RD","AIS","Owned by City",,,,,,"0.0",,,"38","15","PORTAGE PARK","B3-1","60634","03/14/2024",,,,,,"1134793.05999188","1926048.72999331","41.95327328443749","-87.77989054958111","
,  
(41.95327328443749, -87.77989054958111)"
"14789","20-04-205-004-0000","3900 S FEDERAL ST","DPD - Business Development","Owned by City","1992-07-03T00:00:00.000",,"None","CBB 2022-2023 not offered due to:","Prior sale in progress","0.0",,,"3","38","GRAND BOULEVARD","PD 1143","00000","03/14/2024",,,,,,"1176249.82043592","1878993.65406867","41.82331584149302","-87.62891262338854","
,  
(41.82331584149302, -87.62891262338854)"
"24305","25-24-208-040-0000",,"Park District","Leased","2001-07-19T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"24521","25-09-211-009-0000","9621 S YALE AVE","DPD - Large Lots","Sold",,,,,,"0.0",,,"9","49","ROSELAND","RS-2","60628","03/14/2024",,,,,,"1176411.26633766","1841031.05586381","41.7191386553456","-87.62946013850384","
,  
(41.7191386553456, -87.62946013850384)"
"12621","17-06-500-044-0000","1323 N MOORMAN ST","CDOT","Sold",,"2018-12-19T00:00:00.000",,,,"0.0",,,"1","24","WEST TOWN","B3-2","60622","03/14/2024",,,,,,"1164731.67501601","1908727.53434508","41.90515963656291","-87.67032585391512","
,  
(41.90515963656291, -87.67032585391512)"
"24052","25-20-415-014-0000","11733 S CARPENTER ST","None","Sold",,"2010-09-10T00:00:00.000",,,,"0.0",,,"21","53","WEST PULLMAN","PD 1168","00000","03/14/2024",,,,,,"1171502.66023846","1826859.32050391","41.680357932554344","-87.64785188990196","
,  
(41.680357932554344, -87.64785188990196)"
"22097","26-05-114-020-0000","9160 S LAKE SHORE DR","AIS","Owned by City",,,,,,"1440.0",,,"10","46","SOUTH CHICAGO","RS-2","0","03/14/2024",,,,,,"1200171.12166554","1844982.33017165","41.72941525277636","-87.54230402558117","
,  
(41.72941525277636, -87.54230402558117)"
"9996","16-15-128-030-0000","4539 W VAN BUREN ST","None","Sold",,,,,,"34590.0",,,"28","26","WEST GARFIELD PARK","M1-2","60624","03/14/2024",,,,,,"1146165.18138109","1897540.96606281","41.874835957378686","-87.73881165762756","
,  
(41.874835957378686, -87.73881165762756)"
"50956","17-18-220-001-0000","1759 W ADAMS ST","AIS","Owned by City","1997-02-05T00:00:00.000",,,,,"0.0",,,"27","28","NEAR WEST SIDE","RM-5","60612","03/14/2024",,,,,,"1164486.13999608","1899023.55005949","41.87853636372869","-87.67150272711767","
,  
(41.87853636372869, -87.67150272711767)"
"23171","25-24-404-020-0000",,"Park District","Leased","2001-11-06T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"21948","25-25-205-039-0000",,"Park District","Leased","2002-01-09T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22824","25-24-431-004-0000",,"Park District","Leased","2007-09-21T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"51088","19-13-316-016-0000","6137 S KEDZIE AVE","AIS","Owned by City","1977-09-15T00:00:00.000",,,,,"0.0",,,"14","66","CHICAGO LAWN","B1-1","60629","03/14/2024",,,,,,"1156210.46522745","1863561.82965357","41.781396136393965","-87.70284496909336","
,  
(41.781396136393965, -87.70284496909336)"
"23284","25-24-405-027-0000",,"Park District","Leased","2001-11-06T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"17268","20-17-415-007-0000","6031 S GREEN ST","None","Sold",,"2020-01-30T00:00:00.000",,,,"0.0",,,"16","68","ENGLEWOOD","RT-4","60621","03/14/2024",,,,,,"1171770.09984719","1864719.77999812","41.78424645280093","-87.64576584122307","
,  
(41.78424645280093, -87.64576584122307)"
"14520","20-03-121-013-0000","4231 S INDIANA AVE","None","Sold","1999-07-21T00:00:00.000","2004-04-01T00:00:00.000",,,,"4010.0",,,"3","38","GRAND BOULEVARD","RM-5","60653","03/14/2024",,,,,,"1178436.98548784","1876864.18969273","41.817422929300086","-87.62095358317376","
,  
(41.817422929300086, -87.62095358317376)"
"22368","25-24-423-027-0000","12014 S TORRENCE AVE","Park District","Leased","2001-11-06T00:00:00.000",,,,,"0.0",,,"10","51","SOUTH DEERING","POS-3","0","03/14/2024",,,,,,"1195611.52019506","1825791.61000391","41.67686777492642","-87.55963826244594","
,  
(41.67686777492642, -87.55963826244594)"
"24410","25-24-215-001-0000",,"Park District","Leased","2001-10-10T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"20865","20-21-116-042-0000","745 W 65TH ST","None","Sold",,,,,,"0.0",,,"16","68","ENGLEWOOD","B3-2","0","03/14/2024",,,,,,"1172216.2499235363","1861728.1180333928","41.77602718712889","-87.64421798714334","
,  
(41.77602718712889, -87.64421798714334)"
"22509","25-25-209-022-0000",,"DPD - Open Space","Owned by City","2001-11-06T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"16251","20-17-228-029-0000","940 W 59TH ST","DPD - Real Estate","Sold",,"2017-02-14T00:00:00.000",,,,"0.0",,"12500.0","16","68","ENGLEWOOD","B3-1","60621","03/14/2024",,,,,,"1170860.90932443","1865800.19731628","41.787231144494356","-87.64906775516197","
,  
(41.787231144494356, -87.64906775516197)"
"14809","20-07-405-023-0000","5102 S PAULINA ST","None","Sold","1993-04-27T00:00:00.000","2011-05-12T00:00:00.000",,,,"3138.0",,,"16","61","NEW CITY","B3-1","60609","03/14/2024",,,,,,"1165777.95048543","1870815.20922574","41.801102442532105","-87.6675623326605","
,  
(41.801102442532105, -87.6675623326605)"
"58897","16-14-418-001-0000","3500 W FILLMORE ST","AIS","Owned by City","2018-07-09T00:00:00.000",,,,,"0.0",,,"24","29","NORTH LAWNDALE","M1-2","0","03/14/2024",,,,,,"1152874.23120738","1895246.43217818","41.86840934342575","-87.7142394276435","
,  
(41.86840934342575, -87.7142394276435)"
"8585","16-09-302-002-0000","5429 W LAKE ST","None","Sold",,,,,,"0.0",,,"37","25","AUSTIN","C1-2","60644","03/14/2024",,,,,,"1139950.89470818","1901921.52019545","41.88697261087203","-87.76152105327272","
,  
(41.88697261087203, -87.76152105327272)"
"8047","14-32-423-043-0000","1724 N CLYBOURN AVE","None","Sold",,,,,,"2400.0",,,"2","07","LINCOLN PARK","B1-2","60614","03/14/2024",,,,,,"1169772.6775736","1911328.58403277","41.91218865892407","-87.65173283115048","
,  
(41.91218865892407, -87.65173283115048)"
"9200","16-11-412-028-0000","3219 W LAKE ST","None","Sold",,,,,,"2200.0",,,"28","27","EAST GARFIELD PARK","M1-3","60624","03/14/2024",,,,,,"1154794.09694782","1901003.04967044","41.88416788616689","-87.70703694509551","
,  
(41.88416788616689, -87.70703694509551)"
"12229","17-20-326-004-0000","1909 S ALLPORT ST","None","Sold","1976-02-09T00:00:00.000","1997-11-07T00:00:00.000",,,,"3024.0",,,"25","31","LOWER WEST SIDE","RT-4","60608","03/14/2024",,,,,,"1168436.17474813","1890769.08018555","41.85580093291348","-87.657237791694","
,  
(41.85580093291348, -87.657237791694)"
"22023","25-24-414-031-0000",,"Park District","Leased","2001-10-03T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"10496","16-14-328-025-0000","3643 W GRENSHAW ST","None","Sold",,,,,,"3140.0",,,"24","29","NORTH LAWNDALE","RT-4","60624","03/14/2024",,,,,,"1152106.48408617","1894696.76783394","41.86691616189103","-87.7170724946335","
,  
(41.86691616189103, -87.7170724946335)"
"23125","25-25-215-010-0000",,"Park District","Leased","2002-01-23T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23188","25-24-405-005-0000",,"Park District","Leased","2001-11-06T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"23882","25-24-206-031-0000",,"Park District","Leased","2001-05-01T00:00:00.000",,,,,"0.0",,,,,,,"60617","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"59365","20-17-500-005-0000","5846 S PEORIA ST","DPD - Open Space","Owned by City","2018-11-20T00:00:00.000",,,,,,,,"16","68","ENGLEWOOD","B3-1",,"03/14/2024",,,,,,"1171306.28529187","1866069.72059872","41.787961008585114","-87.64742687783136","
,  
(41.787961008585114, -87.64742687783136)"
