"purchase_order_description","purchase_order_contract_number","revision_number","specification_number","contract_type","start_date","end_date","approval_date","department","vendor_name","vendor_id","address_1","address_2","city","state","zip","award_amount","procurement_type","contract_pdf"
"DFSS-CORP-HL-INTHS:","268643","0","1263475","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CASA CENTRAL SOCIAL SERVICES CORPORATION","12727336M","1343 N CALIFORNIA AVE",,"CHICAGO","IL","60622","231592",,
"CDPH-PRTCT-CHCG: PO 160570 PHALANX FAMILY SERVICES","268553","0","1222613","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPARTMENT OF HEALTH","PHALANX FAMILY SERVICES","85554962P","4628 W WASHINGTON BLVD",,"CHICAGO","IL","60644","100000",,
"TARGET MARKET PlANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 2: EVALUATE REAL ESTATE, HOUSING, AND ECONOMIC DEVELOPMENT PROPOSALS, AND STUDY ECONOMIC IMPACTS","37750","5","131664","PRO SERV CONSULTING $250,000orABOVE","2016-10-24T00:00:00.000","2025-03-05T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","VALERIE S KRETCHMER ASSOC. INC.","95310786X","807 DAVIS ST",,"EVANSTON","IL","60201","0","MASTER AGREEMENT",
"DFSS-ARP-DV-RRPC:","220538","2","1251581","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ALL CHICAGO MAKING HOMELESSNESS HISTORY","97415498V","651 W WASHINGTON BLVD",,"CHICAGO","IL","60661","-2194112.8",,
"Mechanical Joint Restraint Glands TARGET MARKET","241572","0","1255833","COMMODITIES","2024-05-01T00:00:00.000","2027-04-30T00:00:00.000","2024-05-02T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","T & N CHICAGO, INC.","93816736A","444 N MICHIGAN AVENUE EFT",,"CHICAGO","IL","60611","5791477.3","BID",
"JANITORIAL SUPPLIES - GROUPS DD, H, M, N, QQ, R, S, U, TT, Y","41932","8","129464","COMMODITIES","2016-07-15T00:00:00.000","2025-01-11T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","INTER-CITY SUPPLY CO., INC.","102651428X","8830 S DOBSON AVENUE EFT",,"CHICAGO","IL","60619","0","BID",
"DFSS-ESG-HL-ESH:","268642","0","1235949","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PRIMO CENTER FOR WOMEN & CHILDREN","105460385M","6212 S SANGAMON ST",,"CHICAGO","IL","60621","838628",,
"1256108A: Polyethylene Tubing (Re-bid)","261997","0","1256108A","COMMODITIES","2024-04-30T00:00:00.000","2027-04-30T00:00:00.000","2024-05-02T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","T & N CHICAGO, INC.","93816736A","444 N MICHIGAN AVENUE EFT",,"CHICAGO","IL","60611","493010.3","BID",
"DFSS-CORP-CS-SS:","268639","0","1234549","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","NATIONAL LOUIS UNIVERSITY","94382376L","6200 CAPITOL DR",,"WHEELING","IL","60090","33600",,
"DFSS-ARP-YS-SCAN:","268665","0","1292670","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BROADER.URBAN.INVESTMENT.L.D. INC","93734476Z","5100 W HARRISON ST",,"CHICAGO","IL","60644","333000",,
"DFSS-CORP-CS-SS:","268644","0","1280002","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS","102485369L","GRANTS & CONTRACTS MC/696","840 S WOOD B-  39","CHICAGO","IL","60612","400000",,
"TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 1: PREPARE URBAN PLANS, 2: EVALUATE REAL ESTATE HOUSING & ECONOMIC DEVELOPMENT PROPOSALS & STUDY ECONOMIC IMPACTS, 6: SUPPORT SPECIAL SERVICE AREAS, 7: SUPPORT TIF DISTRICTS","37742","5","131664","PRO SERV CONSULTING $250,000orABOVE","2016-09-22T00:00:00.000","2025-03-05T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","JOHNSON RESEARCH GROUP INC","102636863L","914 S WABASH AVE",,"CHICAGO","IL","60605","0","MASTER AGREEMENT",
"DFSS-CORP-HL-SPC:","268664","0","1266248","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","K.L.E.O. COMMUNITY FAMILY LIFE CENTER","75317018T","119 E GARFIELD BLVD FL 1ST",,"CHICAGO","IL","60637","12512500",,
"TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 2: EVALUATE REAL ESTATE HOUSING & ECONOMIC DEVELOPMENT PROPOSALS & STUDY ECONOMIC IMPACTS","37734","5","131664","PRO SERV CONSULTING $250,000orABOVE","2016-09-12T00:00:00.000","2025-03-05T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","GOODMAN WILLIAMS GROUP","95269479P","212 W KINZIE EFT",,"CHICAGO","IL","60654","0","MASTER AGREEMENT",
"BACP-CORP-NBDC:","268646","0","1258323","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","LAKEVIEW ROSCOE VILLAGE CHAMBER OF COMMERCE","105470074Z","1409 W ADDISON ST",,"CHICAGO","IL","60613","55000",,
"TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 4: ASSIST WITH DEVELOPMENT OF SUSTAINABILITY & RESILIENCY PLANS","38325","5","131664","PRO SERV CONSULTING $250,000orABOVE","2016-09-07T00:00:00.000","2025-03-05T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","GREEN FACILITATOR","105478294E","3903 N KEELER AVE",,"CHICAGO","IL","60641","0","MASTER AGREEMENT",
"PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES","32973","5","127930","ARCH/ENGINEERING","2015-12-03T00:00:00.000","2025-05-30T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","SITE DESIGN GROUP LIMITED","23207315M","888 S MICHIGAN AVE # 1000",,"CHICAGO","IL","60605-2163","0","MASTER AGREEMENT",
"DFSS-CORP-HL-ESH:","268640","0","1235949","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PRIMO CENTER FOR WOMEN & CHILDREN","105460385M","6212 S SANGAMON ST",,"CHICAGO","IL","60621","398008",,
"DFSS-CORP-HL-PBTH:","268638","0","1236413","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","NEW MOMS, INC.","5335401Z","5317 W CHICAGO AVE",,"CHICAGO","IL","60651","108900",,
"DFSS-ARP-DV-GBVYP:","268550","0","1257286","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","HEARTLAND HUMAN CARE SERVICES, INC.","6316260Z","CHICAGO CONNECTIONS","208 S LA SALLE ST STE 1300 STE 1300","CHICAGO","IL","60604","581769",,
"DFSS-CORP-HL-BSO:","268641","0","1236107","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","MCDERMOTT CENTER|CLEANED-UP","87075014A","120 N SANGAMON EFT",,"CHICAGO","IL","60607","513256",,
"Grant to provide wrap-around social services to the City¿s Greencorps Chicago green job training program","228978","1","1272900","COMPTROLLER-OTHER","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-02T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","GREENCORPS CHICAGO, NFP","50066781","445 N SACRAMENTO",,"CHICAGO","IL","60612","2300000",,
"DFSS-CORP-YS-SCAN:","254016","1","1198377","DELEGATE AGENCY","2024-01-01T00:00:00.000","2024-05-10T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","LAWNDALE CHRISTIAN LEGAL CENTER","94731274A","1530 S HAMLIN AVE",,"CHICAGO","IL","60623","0",,
"JANITORIAL SUPPLIES - GROUPS AA, D, GG, II, Q","41708","14","129464","COMMODITIES","2016-07-15T00:00:00.000","2025-01-11T00:00:00.000","2024-05-02T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","AZTEC SUPPLY CORPORATION","99253653P","5024 W 67TH ST",,"BEDFORD PARK","IL","60638","1100000","BID",
"DFSS-CORP-HL-ESH:","268636","0","1263475","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","FEATHERFIST","93441487X","2255 E 75TH STREET EFT ST",,"CHICAGO","IL","60649","81800",,
"BACP-CORP-NBDC:","268635","0","1258323","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","ROGERS PARK BUSINESS ALLIANCE","95196348A","1448 W MORSE AVE",,"CHICAGO","IL","60626","30000",,
"Consulting Services","201625","2","1254282","COMPTROLLER-OTHER","2022-03-01T00:00:00.000","2024-06-30T00:00:00.000","2024-05-02T00:00:00.000","DEPARTMENT OF FINANCE","Susan Kennedy-Riechers","10595579","4851 Bonita Bay Blvd. - Unit 1902",,"Bonita Springs","FL","34134","0",,
"DESIGN CONSULTING SERVICES - TARGET MARKET","37881","3","132366","ARCH/ENGINEERING","2016-07-01T00:00:00.000","2024-12-29T00:00:00.000","2024-05-02T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","MULLER & MULLER, LIMITED","22218051P","700 N SANGAMON AVENUE EFT",,"CHICAGO","IL","60622","0","MASTER AGREEMENT",
"1242723: INVEST SOUTH/ WEST AUSTIN: CHICAGO AVENUE IMPROVMENTS - AUSTIN BOULEVARD TO CENTRAL AVENUE","208284","8","1242723","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-05-02T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","SUMIT CONSTRUCTION CO., INC.","21973746A","4150 W WRIGHTWOOD AVE FL 1ST",,"CHICAGO","IL","60639","3503545","BID",
"BACP-CORP-NBDC:","268632","0","1258323","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","NORTHWEST SIDE CDC","105478915L","5233 W DIVERSEY AVE",,"CHICAGO","IL","60639","20000",,
"CDPH-SUBST ABU: PO 259501 Chicago Recovery Alliance - Harm Reduction Services - OD2A","268551","0","1278969","DELEGATE AGENCY",,,"2024-05-02T00:00:00.000","DEPARTMENT OF HEALTH","CHICAGO RECOVERY ALLIANCE","92846178A","attn Dan Bigg","3110 W TAYLOR ST","CHICAGO","IL","60612","75000",,
"CDPH-PRTCT-CHCG: PO 160570 PHALANX FAMILY SERVICES","160570","8","1222613","DELEGATE AGENCY","2021-06-11T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","PHALANX FAMILY SERVICES","85554962P","4628 W WASHINGTON BLVD",,"CHICAGO","IL","60644","100000","RFP",
"CDPH-VIOLNCE PREV: PO 216249 YOUTH ADVOCATE PROGRAM INC.","216249","4","1222767","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","YOUTH ADVOCATE PROGRAM INC.","94198071L","2007 N 3RD ST",,"HARRISBURG","PA","17108","-500000","RFP",
"DOH-HOME-CHDO-OS:","268450","0","1222401","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","RESURRECTION PROJECT","103368522L","1805 S ASHLAND AVENUE EFT",,"CHICAGO","IL","60608","50000",,
"DFSS-CDBG-DV-CCMS:","268532","0","1220892","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","MUJERES LATINAS EN ACCION","23296996L","2823 W 17TH ST",,"CHICAGO","IL","60608","46000",,
"MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT GROUPS 1-5: PROJECT GROUP 4 AND PROJECT GROUP 5 AWARDED","32268","4","114941","ARCH/ENGINEERING","2015-10-07T00:00:00.000","2025-03-02T00:00:00.000","2024-05-01T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","SITE DESIGN GROUP LIMITED","23207315M","888 S MICHIGAN AVE # 1000",,"CHICAGO","IL","60605-2163","0","MASTER AGREEMENT",
"DOH-CORP-HCBA:","268451","0","1221547","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","HISTORIC CHICAGO BUNGALOW (LISC)|CLEANED-UP","95251535P","FIFTH THIRD BANK #7240335765","175 W JACKSON BLVD","CHICAGO","IL","60604","50000",,
"DFSS-IDHS-HL-INTHS:","268460","0","1235949","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","WM INITIATIVES LLC","102453997T","5104 TOLLVIEW DR",,"ROLLING MEADOWS","IL","60008","32850",,
"CDPH-VIOLNCE PREV: PO 216250 YOUTH GUIDANCE","216250","2","1222767","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","YOUTH GUIDANCE","99253665A","1 N LASALLE STREET EFT",,"CHICAGO","IL","60602","-500000","RFP",
"DFSS-ARP-YS-CB:","264359","0","1234841","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP","90455112P","11 E ADAMS STREET EFT",,"CHICAGO","IL","60603","185470",,
"DFSS-CORP-YS-SYEP:","264346","0","1235846","DELEGATE AGENCY","2024-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","A KNOCK AT MIDNIGHT, NFP","28976533T","400 W 76TH STREET EFT ST","STE 202","CHICAGO","IL","60620","533025",,
"DOH-CORP-TACIT:","268454","0","1278849","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","METROPOLITAN TENANTS ORGAN. 01","102508262P","SERVICES, INC.","832 N DELPHIA","PARK RIDGE","IL","60068","120000",,
"DOH-CORP-TBI-M:","268440","0","1221293","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","COMMUNITY INITIATIVES INC","93602569V","222 S RIVERSIDE PLAZA EFT",,"CHICAGO","IL","60606","175000",,
"CDPH-VIOLNCE PREV: PO 216253 Together Chicago Inc","216253","5","1222767","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","TOGETHER CHICAGO INC","105457835H","222 S RIVERSIDE PLZ",,"CHICAGO","IL","60606","-500000","RFP",
"DFSS-CDBG-DV-CCMS:","268467","0","1220892","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","METROPOLITAN FAMILY SERVICE","102603122X","SUITE 1000","SUITE 1000","CHICAGO","IL","60602","59737",,
"CDPH-VIOLNCE PREV: PO 216248  CENTERS FOR NEW HORIZONS INC","216248","4","1222767","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","CENTERS FOR NEW HORIZONS 01","15427701H","4150 S KING DRIVE EFT",,"CHICAGO","IL","60653","-500000","RFP",
"DOH-HOME-CHDO-OS:","268448","0","1222401","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","BICKERDIKE REDEVELOPMENTCORPORATION CORP","3676876H","2550 W NORTH AVE FL 2ND",,"CHICAGO","IL","60647","50000",,
"DOH-CORP-HCBA:","268452","0","1221547","DELEGATE AGENCY",,"2024-05-08T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","HISTORIC CHICAGO BUNGALOW (LISC)|CLEANED-UP","95251535P","FIFTH THIRD BANK #7240335765","175 W JACKSON BLVD","CHICAGO","IL","60604","190000",,
"DFSS-CORP-HL-ESH:","268438","0","1235949","DELEGATE AGENCY",,"2024-05-02T00:00:00.000","2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","NEOPOLITAN LIGHTHOUSE C/O","22388968L","PO BOX 24709",,"CHICAGO","IL","60624","262800",,
"DFSS-ARP-YS-SYEP:","224472","3","1249421","DELEGATE AGENCY","2023-03-01T00:00:00.000","2024-09-30T00:00:00.000","2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","ALTERNATIVE SCHOOLS NETWORK","8509307T","1807 W SUNNYSIDE AVE STE 1D",,"CHICAGO","IL","60640","906295",,
"DFSS-ARP-YS-SCAN:","268546","0","1292670","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BROADER.URBAN.INVESTMENT.L.D. INC","93734476Z","5100 W HARRISON ST",,"CHICAGO","IL","60644","444000",,
"DOH-CORP-TACIT:","268456","0","1278849","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","LAF","94132915P","METROPOLITAN OF CHICAGO","111 W JACKSON BLVD FL 3RD","CHICAGO","IL","60604-3502","120000",,
"DFSS-IDHS-HL-INTHS:","268437","0","1235949","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","INNER VOICE INC.","6231926M","1621 W WALNUT ST FL 1ST",,"CHICAGO","IL","60612","9490",,
"DFSS-ARP-YS-CYSC:","187441","4","1235861","DELEGATE AGENCY","2022-04-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","KUUMBA LYNX 01","31326109X","4501 N CLARENDON AVE",,"CHICAGO","IL","60640","487662",,
"CDPH-IMMNZTN: PO 184339 EVERTHRIVE ILLINOIS","184339","10","1230044","DELEGATE AGENCY","2023-07-01T00:00:00.000","2024-06-30T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","EVERTHRIVE ILLINOIS","102705085X","1006 S MICHIGAN AVE STE 200",,"CHICAGO","IL","60605","50000","RFP",
"DOH-HOME-CHDO-OS:","268447","0","1222401","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","LATIN.UNITED.COMMUNITY.HOUSING.A. SERVICES","3971023V","3541 W NORTH AVE",,"CHICAGO","IL","60647","50000",,
"DOH-CORP-TACIT:","268453","0","1278849","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","METROPOLITAN TENANTS ORGAN. 01","102508262P","SERVICES, INC.","832 N DELPHIA","PARK RIDGE","IL","60068","40000",,
"DFSS-CORP-HL-ESH:","268438","1","1235949","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","NEOPOLITAN LIGHTHOUSE C/O","22388968L","PO BOX 24709",,"CHICAGO","IL","60624","0",,
"CDPH-VIOLNCE PREV: PO 216251 Envision Community Services","216251","4","1222767","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-01T00:00:00.000","DEPARTMENT OF HEALTH","ENVISION COMMUNITY SERVICES","105474653X","4324 W 63RD ST",,"CHICAGO","IL","60629","-500000","RFP",
"DOH-CORP-TACIT:","268449","0","1278849","DELEGATE AGENCY",,,"2024-05-01T00:00:00.000","DEPARTMENT OF HOUSING","LAWYERS COMMITTEE FOR BETTER HOUSING","94703156T","33 N LA SALLE STREET EFT",,"CHICAGO","IL","60602","120000",,
"DESIGN CONSULTING SERVICES","37888","4","131155","ARCH/ENGINEERING","2016-07-01T00:00:00.000","2024-12-29T00:00:00.000","2024-04-30T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","CRAWFORD, MURPHY & TILLY, INC","93296440L","125 S WACKER DR STE 2880",,"CHICAGO","IL","60602","0","MASTER AGREEMENT",
"CDPH-FMLYCNNCTS: PO 200907 SINAI HEALTH SYSTEM","268427","0","1253803","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPARTMENT OF HEALTH","MOUNT SINAI HOSPITAL MEDCL CNT","6296102M","2750 W 15TH ST","2750 W 15TH ST","CHICAGO","IL","60608","503831",,
"DFSS-ARP-YS-MCMF:","214458","1","1245999","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CHICAGO PARKS FOUNDATION","102617463Z","541 N FAIRBANKS CT FL 7TH",,"CHICAGO","IL","60611","-106777",,
"CDPH-MNTL-HLTH: PO 192909 Ada S. Mckinley Community Services, Inc","268428","0","1242730","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPARTMENT OF HEALTH","ADA S. MC KINLEY COMMUNITY SERVICES, INC.","14602115A","2916 S DEARBORN ST",,"CHICAGO","IL","60616","240000",,
"EMERGENCY MEDICAL EQUIPMENT (GROUPS A-D, H-J, L, & N-V)","32528","10","126545","COMMODITIES","2015-07-01T00:00:00.000","2025-06-28T00:00:00.000","2024-04-30T00:00:00.000","FIRE DEPARTMENT","MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC","103441655Z","1690 NEW BRITAIN AVE",,"FARMINGTON","CT",,"3970350.9","BID",
"DFSS-ARP-YS-MCMF:","236222","1","1261336","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","BRIGHTON PARK NEIGHBORHOOD COUNCIL|CLEANED-UP","92237450E","4477 S ARCHER AVENUE EFT",,"CHICAGO","IL","60632","-137284.9",,
"CDPH-FMLYCNNCTS: PO 200913 UNIVERSITY OF CHICAGO MEDICAL CENTER","268426","0","1253803","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPARTMENT OF HEALTH","UNIVERSITY OF CHICAGO - MEDICAL CENTER","5405315L","5841 S MARYLAND AVE # MC6091",,"CHICAGO","IL","60637","615846",,
"DFSS-ARP-YS-MCMF:","243503","1","1261336","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","UCAN (ULRICH CHILDRENS ADVANTAGE NETWORK)","93262454H","3737 N MOZART ST",,"CHICAGO","IL","60618","-48145.6",,
"DOH-HOME-CHDO-OS:","268271","0","1222401","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPARTMENT OF HOUSING","CLARETIAN ASSOCIATES|CLEANED-UP","93175047L","9108 S BRANDON AVENUE EFT",,"CHICAGO","IL","60617","50000",,
"A C MOTEL, LLC.","244886","1","1283127","COMPTROLLER-OTHER","2023-09-21T00:00:00.000","2025-05-07T00:00:00.000","2024-04-30T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","AC MOTEL, LLC.","10028919","5230 N LINCOLN AVE",,"CHICAGO","IL","60625","0",,
"BACP-CORP-NBDC:","218013","1","1258323","DELEGATE AGENCY","2023-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-30T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","LAKEVIEW ROSCOE VILLAGE CHAMBER OF COMMERCE","105470074Z","1409 W ADDISON ST",,"CHICAGO","IL","60613","55000","RFP",
"DFSS-ARP-YS-MCMF:","244700","1","1261336","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","INNER-CITY MUSLIM ACTION","102558522P","ROUTING #071904779 ACCOUNT#157616816458","2744 W 63 TH ST","CHICAGO","IL","60629","-70801.2",,
"DFSS-ARP-YS-MCMF:","236807","2","1261336","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","CIRC ESTEEM INC","96113116H","4730 N SHERIDAN RD",,"CHICAGO","IL","60640","-29221.3",,
"DFSS-IDHS-HL-SOES:","268262","0","1236107","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","HOWARD BROWN HEALTH CENTER","15183609E","4025 N SHERIDAN ROAD EFT",,"CHICAGO","IL","60613","126667",,
"DFSS-ARP-YS-CYSC:","216880","1","1235861","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","UCAN (ULRICH CHILDRENS ADVANTAGE NETWORK)","93262454H","3737 N MOZART ST",,"CHICAGO","IL","60618","-181940.9",,
"CDPH-SUBST ABU: PO 259496 Healthcare Alternative Systems- Harm Reduction Services - OD2A","259496","0","1278969","DELEGATE AGENCY","2024-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-30T00:00:00.000","DEPARTMENT OF HEALTH","HEALTH CARE ALTERNATIVE SYSTEMS, INC","5329123Z","2755 W ARMITAGE AVE",,"CHICAGO","IL","60647","75000","RFP",
"DOH-CDBG-TACOM:","178768","1","1221543","DELEGATE AGENCY","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","2024-04-30T00:00:00.000","DEPARTMENT OF HOUSING","LATIN.UNITED.COMMUNITY.HOUSING.A. SERVICES","3971023V","3541 W NORTH AVE",,"CHICAGO","IL","60647","52500","RFP",
"DFSS-ARP-YS-CYSC:","217404","1","1235861","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","PHALANX FAMILY SERVICES","85554962P","4628 W WASHINGTON BLVD",,"CHICAGO","IL","60644","-268168",,
"DFSS-IDHS-HL-INTHS:","268261","0","1235949","DELEGATE AGENCY",,,"2024-04-30T00:00:00.000","DEPT OF FAMILY AND SUPPORT SERVICES","A LITTLE BIT OF HEAVEN","105470991Z","11321 S WENTWORTH AVENUE EFT",,"CHICAGO","IL","60628","36500",,
"BACP-CORP-NBDC:","268246","0","1258323","DELEGATE AGENCY",,,"2024-04-29T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","NORTH RIVER COMMISSION 02","93461821H","3403 W LAWRENCE AVENUE EFT",,"CHICAGO","IL","60625","40000",,
"PARTS AND REPAIR SERVICE FOR TARGET CONSTRUCTION EQUIPMENT","56484","3","137701","WORK SERVICES / FACILITIES MAINT.","2017-06-20T00:00:00.000","2025-06-19T00:00:00.000","2024-04-29T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","ROOT BROTHERS.MANUFACTURING & SUPPLY CO.","3620558A","10307-10325 S MICHIGAN AVE",,"CHICAGO","IL","60628","0","BID",
"BACP-CORP-NBDC:","268249","0","1258323","DELEGATE AGENCY",,,"2024-04-29T00:00:00.000","DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION","NEAR SOUTH PLANNING BOARD","93454957A","2600 S MICHIGAN AVE",,"CHICAGO","IL","60616","20000",,
