"id","permit_","permit_status","permit_milestone","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_type","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","building_fee_subtotal","zoning_fee_subtotal","other_fee_subtotal","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","contact_1_type","contact_1_name","contact_1_city","contact_1_state","contact_1_zipcode","contact_2_type","contact_2_name","contact_2_city","contact_2_state","contact_2_zipcode","contact_3_type","contact_3_name","contact_3_city","contact_3_state","contact_3_zipcode","contact_4_type","contact_4_name","contact_4_city","contact_4_state","contact_4_zipcode","contact_5_type","contact_5_name","contact_5_city","contact_5_state","contact_5_zipcode","contact_6_type","contact_6_name","contact_6_city","contact_6_state","contact_6_zipcode","contact_7_type","contact_7_name","contact_7_city","contact_7_state","contact_7_zipcode","contact_8_type","contact_8_name","contact_8_city","contact_8_state","contact_8_zipcode","contact_9_type","contact_9_name","contact_9_city","contact_9_state","contact_9_zipcode","contact_10_type","contact_10_name","contact_10_city","contact_10_state","contact_10_zipcode","contact_11_type","contact_11_name","contact_11_city","contact_11_state","contact_11_zipcode","contact_12_type","contact_12_name","contact_12_city","contact_12_state","contact_12_zipcode","contact_13_type","contact_13_name","contact_13_city","contact_13_state","contact_13_zipcode","contact_14_type","contact_14_name","contact_14_city","contact_14_state","contact_14_zipcode","contact_15_type","contact_15_name","contact_15_city","contact_15_state","contact_15_zipcode","reported_cost","pin_list","pin1","pin2","pin3","pin4","pin5","pin6","pin7","pin8","pin9","pin10","community_area","census_tract","ward","xcoordinate","ycoordinate","latitude","longitude","location"
"1694003","100121230",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-06-29T00:00:00.000","2006-07-12T00:00:00.000","13","3000","W","52ND ST",,"MONTHLY MAINTENANCE FOR MAY 2006 -- B2636","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","COMMERICAL LIGHT COMPANY","HILLSIDE","IL","60162-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20000",,,,,,,,,,,,,,,"1157239.3132668603","1870052.3893095972","41.79918638","-87.698897347","POINT (-87.698897347022 41.799186380036)"
"1688700","100118102",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-06-12T00:00:00.000","2006-06-12T00:00:00.000","0","6420","N","CAMPBELL AVE",,"VIOLATION REPAIRS AS NEEDED PER LETTER","40","0","50","90","0","0","0","0","0","40","0","50","0","0","0","90","CONTRACTOR-ELECTRICAL","AMZ ELECTRIC","NILES","IL","60714-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"10-36-429-024",,,,,,,,,,,,,"1158444.2947638705","1942637.1789904013",,,
"1688963","100118272",,,"PERMIT - SIGNS","SIGN PERMIT","2006-06-13T00:00:00.000","2006-06-13T00:00:00.000","0","2148","N","DAMEN AVE",,"AWNING 387576","62.5","0","0","62.5","0","0","0","0","0","62.5","0","0","0","0","0","62.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"14-31-123-045",,,,,,,,,,,,,"1162631.1015906916","1914448.3214721263","41.92090217","-87.67788132","POINT (-87.677881319995 41.920902169691)"
"1689072","100118339",,,"PERMIT - SIGNS","SIGN PERMIT","2006-06-13T00:00:00.000","2006-06-13T00:00:00.000","0","4855","N","BROADWAY",,"WEST ELEVATION 387590","76.5","0","0","76.5","0","0","34","34","0","76.5","0","34","0","0","0","110.5","CONTRACTOR-ELECTRICAL","DOYLE SIGINS INC","ADDISON","IL","60101-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1167473.0358014805","1932605.6700043397","41.970623808","-87.659566642","POINT (-87.659566641574 41.970623808469)"
"1688482","100117977",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-06-12T00:00:00.000","2006-06-12T00:00:00.000","0","101","S","CLINTON ST",,"INSTALLATION OF ONE INTERIOR MOUNTED SIGN","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","DOYLE SIGINS INC","ADDISON","IL","60101-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1172785.8205129271","1899806.8079612055","41.880506006","-87.641005039","POINT (-87.641005039321 41.880506005854)"
"1694445","100121580",,,"PERMIT - SCAFFOLDING","EASY PERMIT","2006-06-30T00:00:00.000","2006-06-30T00:00:00.000","0","4001","N","RAVENSWOOD AVE",,"ERECTING ONE SCAFFOLD SKY CLIMBER FROM 6/30/06 TO 6/30/07.","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-GENERAL CONTRACTOR","A & A TUCKPOINTING","CHGO","IL","60631","OWNER","KOLB, GERHARD G","CHICAGO","IL","60613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,,,,,
"1695645","100122440",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-06T00:00:00.000","2006-09-01T00:00:00.000","57","4433","W","42ND PL",,"INSTALLATION OF LOW VOLTAGE SECURITY SYSTEM  130-44587-01  CHICAGO SEAFOOD","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","A.D.T. INC.","OAK BROOK","IL","60523-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,
"1688859","100118195",,,"PERMIT - SIGNS","SIGN PERMIT","2006-06-13T00:00:00.000","2006-06-13T00:00:00.000","0","4559","S","HALSTED ST",,"RIGHT OF BUILDING 387560","58","0","0","58","0","0","0","0","0","58","0","0","0","0","0","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"20-04-318-020",,,,,,,,,,,,,"1171781.5088301743","1874389.6280845348","41.810781303","-87.6454403","POINT (-87.645440300363 41.810781303346)"
"1689510","100118566",,,"PERMIT - EASY PERMIT PROCESS","EASY PERMIT","2006-06-14T00:00:00.000","2006-06-14T00:00:00.000","0","1669","W","104TH PL",,"ERECT A DETACHED FRAME GARAGE, 20' X 20', WITH TWO - ONE SQ. FOOT ROOF VENTS AND ALLEY ACCESS.","180","50","0","230","0","0","0","0","0","180","50","0","0","0","0","230","OWNER AS GENERAL CONTRACTOR","JOHN WILCZEK","CHICAGO","IL",,"CONTRACTOR-ELECTRICAL","VOLT AMP ELECTRIC","ARLINGTON HEIGHTS","IL","60004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8000",,,,,,,,,,,,,,,,,,,
"1687543","100117343",,,"PERMIT - EASY PERMIT PROCESS","EASY PERMIT","2006-06-08T00:00:00.000","2006-06-15T00:00:00.000","7","2601","N","GREENVIEW AVE",,"REMOVE AND REPLACE WINDOWS. SAME SIZE AND LOCATION AS EXISTING.","5770","50","0","5820","0","0","0","0","0","5770","50","0","0","0","0","5820","OWNER","EMBASSY CLUB CONDO","CHICAGO","IL","60614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"576000",,"14-29-302-358",,,,,,,,,,,,,"1166110","1917495",,,
"1707615","100129655",,,"PERMIT - EASY PERMIT PROCESS","EASY PERMIT","2006-08-07T00:00:00.000","2006-08-07T00:00:00.000","0","5345","N","OKETO AVE",,"REPAIR DRYWALL: PATH AND PLASTER ONLY, NO ELECTRICAL WORK.","85","50","0","135","0","0","0","0","0","85","50","0","0","0","0","135","OWNER AS GENERAL CONTRACTOR","MARIAN DROZD","CHGO","IL","60656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000",,"12-12-229-001",,,,,,,,,,,,,"1126050.7650117364","1934859.3571564655",,,
"1696966","100123379",,,"PERMIT - PORCH CONSTRUCTION","STANDARD PLAN REVIEW","2006-07-11T00:00:00.000","2006-07-12T00:00:00.000","1","3928","S","WELLS ST",,"REPLACE EXISTING 2 STORY REAR ENCLOSED PORCH WITH DOH PROTOTYPE.","110","50","0","160","0","0","0","0","0","110","50","0","0","0","0","160","OWNER AS ARCHITECT","ELEANOR COLLINS","CHICAGO","IL","60609","CONTRACTOR-GENERAL CONTRACTOR","O.A.K.K. CONSTRUCTION CO., INC","SUMMIT","IL","60501-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9800",,"20-04-201-011",,,,,,,,,,,,,,,,,
"1696824","100123277",,,"PERMIT - NEW CONSTRUCTION","STANDARD PLAN REVIEW","2006-09-12T00:00:00.000","2006-09-12T00:00:00.000","0","1642","W","WRIGHTWOOD AVE",,"NEW CONSTRUCTION OF SINGLE FAMILY RESIDENCE WITH GARAGE AS PER PLANS.","2615.6","150","1253","4018.6","0","0","0","0","0","2615.6","150","1253","0","0","0","4018.6","ARCHITECT","KAPCHE JAMES A","CHICAGO","IL","60601-","CONTRACTOR-ELECTRICAL","DEXTER ELECTRIC CO. INC.","NORTHBROOK","IL","60062","CONTRACTOR-GENERAL CONTRACTOR","EASTON CONSTRUCTION, INC.","CHICAGO","IL","60610-","MASON - BRICK AND CONCRETE","PRIME MASONRY","CHICAGO","IL","60641-","CONTRACTOR-PLUMBER/PLUMBING","PL16865-GLOBAL PLUMBING COMPAN","PARK RIDGE","IL","60068-","CONTRACTOR-REFRIGERATION","TDK AIR SPECIALIST, IN","ROLLING MD","IL","60008","CONTRACTOR-VENTILATION","TDK AIR SPECIALIST, IN","ROLLING MD","IL","60008","OWNER","DAVID STENDER","CHICAGO","IL","60610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600000",,"14-30-404-110",,,,,,,,,,,,,,,,,
"1700094","100125333",,,"PERMIT - SCAFFOLDING","EASY PERMIT","2006-07-19T00:00:00.000","2006-07-19T00:00:00.000","0","3150","N","LAKE SHORE DR",,"ERECT 3 HI LOW MODULAR WERNER BOARD","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-GENERAL CONTRACTOR","W.J. MCGUIRE","NORTHBROOK","IL","60662","OWNER","3150 CONDOMINIUM ASSOC","CHICAGO","IL","60657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",,"14-28-200-004",,,,,,,,,,,,,"1173387.9961273633","1921111.1814693431",,,
"1696961","100123375",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-11T00:00:00.000","2006-07-11T00:00:00.000","0","11601","W","TOUHY AVE",,"RELOCATE EXISTING PARKING LOT LIGHTS","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","DIVANE BROS. ELECTRIC CO.","FRANKLIN PARK","IL","60131-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1098098.5774643964","1945979.209781826","42.008536401","-87.914428439","POINT (-87.91442843927 42.008536400869)"
"1702802","100126887",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-26T00:00:00.000","2006-07-26T00:00:00.000","0","10000","N","BESSIE COLEMAN DR",,"REMOVE AND REPLACE THREE (3) 20 AMP AIRFIELD LIGHTING CIRCUITS.","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","ALDRIDGE ELECTRIC INC","LIBERTYVILLE","IL","60048-9504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000",,,,,,,,,,,,,,,,,,,
"1707892","100129852",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-08-08T00:00:00.000","2006-08-08T00:00:00.000","0","1719","W","CHASE AVE",,"200 AMP SERVICE","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","PALOMINO CONSTRUCTION, INC.","CHICAGO","IL","60630-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"11-30-423-009",,,,,,,,,,,,,"1163644.8606628494","1948265.4705525262","42.013676517","-87.673199215","POINT (-87.673199215036 42.013676516722)"
"1696771","100123239",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-10T00:00:00.000","2006-09-12T00:00:00.000","64","1752","N","MCVICKER AVE",,"INSTALLATION OF LOW VOLTAGE SECURITY SYSTEM JOB #573-47835-01  BARBARA GRAY","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","A.D.T. INC.","OAK BROOK","IL","60523-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"549",,"13-32-313-022",,,,,,,,,,,,,"1135757.992052283","1911242.8395947258",,,
"1704569","100128017",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-31T00:00:00.000","2006-07-31T00:00:00.000","0","11601","W","TOUHY AVE",,"CONNECT RTU","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","SHORT CIRCUIT ELECTRIC","DOWNERS GROVE","IL","60516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1098098.5774643964","1945979.209781826","42.008536401","-87.914428439","POINT (-87.91442843927 42.008536400869)"
"1697233","100123519",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-11T00:00:00.000","2006-08-14T00:00:00.000","34","3138","N","OAKLEY AVE",,"NEW SERVICE AND WIRE TWO A/CS","90","0","0","90","0","0","0","0","0","90","0","0","0","0","0","90","CONTRACTOR-ELECTRICAL","E. STONE, INCORPORATED","VILLA PARK","IL","60181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900",,"14-30-100-015",,,,,,,,,,,,,"1160438.20450882","1920971.7265849938","41.938848537","-87.685757477","POINT (-87.685757477317 41.938848536864)"
"1703459","100127271",,,"PERMIT - NEW CONSTRUCTION","STANDARD PLAN REVIEW","2006-07-27T00:00:00.000","2006-08-04T00:00:00.000","8","300","S","LAKE SHORE DR",,"INSTALL 40' X 50' PERFORMANCE STAGE FOR AUGUST 4-6, 2006 EVENT, PER PLANS.","85","75","0","160","0","0","0","0","0","85","75","0","0","0","0","160","OWNER AS GENERAL CONTRACTOR","CHICAGO PARK DISTRICT CHICAGO PARK DISTRICT","CHICAGO","IL","60611","STRUCTURAL ENGINEER","MILLER JAMES R.","CINCINNATI","OH","45241-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23000",,,,,,,,,,,,,,,,,,,
"1704221","100127743",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-09-08T00:00:00.000","2006-09-08T00:00:00.000","0","7715","S","SOUTH SHORE DR",,"LOW VOLTAGE ALARM","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","BROADVIEW SECURITY INC","IRVING","TX","75063-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"289",,,,,,,,,,,,,,,"1197165.3273405929","1854917.9898096975","41.756754737","-87.552984739","POINT (-87.552984738793 41.756754737047)"
"1700974","100125872",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-20T00:00:00.000","2006-07-20T00:00:00.000","0","1559","E","93RD ST",,"100 AMP SEVICE","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","JJG ELECTRIC","CHICAGO","IL","60629-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"25-02-418-005",,,,,,,,,,,,,"1188222.194856264","1843583.6678371388","41.725870173","-87.58611983","POINT (-87.586119829838 41.725870172573)"
"1698617","100124352",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-14T00:00:00.000","2006-09-12T00:00:00.000","60","5841","S","WABASH AVE",,"LOW VOLTAGE ALARM","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","BROADVIEW SECURITY INC","IRVING","TX","75063-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254",,"20-15-120-013",,,,,,,,,,,,,"1177758.2449434772","1866134.068066987","41.787993903","-87.623768313","POINT (-87.62376831284 41.787993903034)"
"1696604","100123123",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-10T00:00:00.000","2006-07-10T00:00:00.000","0","257","E","HURON ST",,"MONTHLY MAINTENANCE FOR MARCH 2006","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","GURTZ ELECTRIC COMPANY","ARLINGTON HEIGHTS","IL","60005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,"1178320.6560867277","1905099.7627465252","41.894905816","-87.620520448","POINT (-87.620520448028 41.894905815894)"
"1703058","100127019",,,"PERMIT - SIGNS","SIGN PERMIT","2006-07-26T00:00:00.000","2006-07-26T00:00:00.000","0","4701","S","WESTERN BLVD",,"INSIDE PARKING LOT. 387653","65","0","0","65","0","0","0","0","0","65","0","0","0","0","0","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1161350.7461913833","1873430.8819517314","41.808373128","-87.683726005","POINT (-87.683726004712 41.808373127744)"
"1699574","100124973",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-18T00:00:00.000","2006-07-18T00:00:00.000","0","2701","N","ALBANY AVE",,"200A (5)METER SERVICE","150","0","0","150","0","0","0","0","0","150","0","0","0","0","0","150","CONTRACTOR-ELECTRICAL","JMS ELECTRIC, INC.","SCHAUMBURG","IL","60173-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"13-25-302-030",,,,,,,,,,,,,"1155284.585518997","1917821.9092599847","41.930310471","-87.704783245","POINT (-87.704783245389 41.930310471104)"
"1696461","100123023",,,"PERMIT - EASY PERMIT PROCESS","EASY PERMIT","2006-07-10T00:00:00.000","2006-07-10T00:00:00.000","0","2648","N","NORMANDY AVE",,"REMOVE AND REPLACE ROOF SHINGLES, AND PLYWOOD AS NEEDED, ALL WORK SAME AS EXISITING, SAME LOCATION.","85","50","0","135","0","0","0","0","0","85","50","0","0","0","0","135","OWNER AS GENERAL CONTRACTOR","MANUEL LOPEZ","CHGO","IL","60635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1300",,"13-30-403-024",,,,,,,,,,,,,"1131253.4463330228","1917087.5895276368",,,
"1705156","100128368",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-08-01T00:00:00.000","2006-08-01T00:00:00.000","0","5807","S","WOODLAWN AVE",,"INSTALL CARD READER AT ROOM 342 (3-5191)","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","ADVENT SYSTEMS, INC.",,"IL","60126-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5023",,,,,,,,,,,,,,,"1185255.1740948164","1866696.5802732029","41.789364411","-87.596262695","POINT (-87.596262695112 41.789364411419)"
"1706432","100128992",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-08-03T00:00:00.000","2006-08-03T00:00:00.000","0","1852","N","BURLING ST",,"LANDSCAPE LIGHTING","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","LIGHTSCAPE, INC.","LIBERTYVILLE","IL","60048-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"14-33-300-072",,,,,,,,,,,,,"1170955.0487768017","1912464.2401690045","41.915279093","-87.647355793","POINT (-87.647355792684 41.915279093293)"
"1699297","100124815",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-18T00:00:00.000","2006-07-18T00:00:00.000","0","3757","W","34TH ST",,"MONTHLY MAINTENANCE FOR MAY 2006","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","CONTINENTAL ELECTRICAL CONSTRU","OAK BROOK","IL","60523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,"1151635.8789682817","1881754.780483934","41.83141102","-87.719139971","POINT (-87.719139970649 41.83141101972)"
"1697317","100123567",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-11T00:00:00.000","2006-07-11T00:00:00.000","0","1901","W","HARRISON ST",,"MAINT.AUGUST 2006","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","COOK COUNTY FACILITIES MANAGEM","CHICAGO","IL","60612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"17-18-402-032","17-18-402-033",,,,,,,,,,,,"1163803.6098774506","1897354.4171882765","41.873970536","-87.674055907","POINT (-87.674055906564 41.873970535597)"
"1697747","100123819",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-12T00:00:00.000","2006-07-12T00:00:00.000","0","5116","S","INDIANA AVE",,"REMOVE BX INSTALL 4 ARC FAULT REAEKERS","100","0","0","100","0","0","0","0","0","100","0","0","0","0","0","100","CONTRACTOR-ELECTRICAL","AMSUMKENI","HOMEWOOD","IL","60430-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1178428.759346872","1871056.250503083","41.801485625","-87.621160309","POINT (-87.621160308836 41.801485624718)"
"1711155","100131712",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-08-16T00:00:00.000","2006-08-16T00:00:00.000","0","9330","S","CONSTANCE AVE",,"INSTALL 35KW GENERATOR FOR CELL TOWER","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","OLIVETO ELECTRIC","MT. PROSPECT","IL","60056-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,"25-01-324-017",,,,,,,,,,,,,"1190106.0824385867","1843357.828883474","41.725205366","-87.579226385","POINT (-87.579226384762 41.725205366328)"
"1721046","100135953",,,"PERMIT - EASY PERMIT PROCESS","EASY PERMIT","2006-09-12T00:00:00.000","2006-09-26T00:00:00.000","14","6353","S","COTTAGE GROVE AVE",,"REMOVE / REPLACE EXISTING STOREFRONT WINDOWS AND GLASS. ELECTRICAL REPAIRS TO INCLUDE: FOUR - 15 AMP. CIRCUITS, SIX - 20 AMP. CIRCUITS. ALL WORK SAME AS EXISTING.","280","75","0","355","0","0","0","0","0","280","75","0","0","0","0","355","CONTRACTOR-ELECTRICAL","BUSTAMANTE ELECTRIC CO.","MAYWOOD","IL","60153","CONTRACTOR-GENERAL CONTRACTOR","ANSCO CONSTRUCTION, LLC","CHICAGO","IL","60625-","RESIDENTAL REAL ESTATE DEV","ANSCO CONSTRUCTION, LLC","CHICAGO","IL","60625-","OWNER","THE BALLROOM, LLC.","CHICAGO","IL","60625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000",,,,,,,,,,,,,,,,,,,
"1709738","100130832",,,"PERMIT - NEW CONSTRUCTION","STANDARD PLAN REVIEW","2006-08-11T00:00:00.000","2006-08-14T00:00:00.000","3","500","S","LAKE SHORE DR",,"PERMIT EXPIRES ON 10/14/2006 ERECT A 20' X 20' CANOPY FOR EVENT AUGUST 12,2006 WITH SETUP 8/11/06 AND TAKEDOWN 8/12/06 PER PLANS.                                                                                                              -CONDITIONAL PERMIT, SUBJECT TO FIELD VERIFICATION.","125","75","0","200","0","0","0","0","0","125","75","0","0","0","0","200","TENT CONTRACTOR","PHOENIX EVENT SERVICES LLC DBA","MCCOOK","IL","60525-","ARCHITECT","DAVID P SKIFFINGTON","HAWTHORN WOODS","IL","60047","ARCHITECT","SKIFFINGTON DAVID P","HAWTHORN WOODS","IL","60047","TENT CONTRACTOR","MICHELLE MARKHAM","MCCOOK","IL","60525","OWNER","GRANT PARK GRANT PARK","CHICAGO","IL","60602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2000",,,,,,,,,,,,,,,,,,,
