"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"3e58852f8b439262b241bb37bad969aae5418a7102815d552c21d92649f18c1e032406473033ee2ca96d807dfc85a76da14bbbb2d01a52bd0694ca93a0b0a41b",,"2024-05-10T12:30:00.000","10","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,"Y",,"OVER $1,500","2024-05-10T14:00:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","4852","S","PRAIRIE AVE","224",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","12","6","5","41.805953419","-87.619651165","POINT (-87.619651165062 41.805953419037)"
"9eb9c695c1315c20301a6ebb151380e51d6faa4e1ef5e6cda926ca9e1e36e8c45142b9510fe5c027fcf1e4f671669cb15f932c0940b788d8308a63092302d89b",,"2024-05-10T12:20:00.000","20","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","TURNING","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T13:00:00.000","IMPROPER TURNING/NO SIGNAL","NOT APPLICABLE","3857","S","DR MARTIN LUTHER KING JR DR","212",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","5","41.823983252","-87.616853891","POINT (-87.616853890785 41.823983251515)"
"c46b205d637e3544cdd024c2d17299bfa17e80eea9bccae1024ee8570d4f9d0139b41aea49b992236ed8af9ee8c0f44ad370d41dfae3158d388f630394fd2d0c",,"2024-05-10T12:20:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PEDESTRIAN","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"$500 OR LESS","2024-05-10T12:20:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","4351","S","WASHTENAW AVE","922",,,,,,,"2","INCAPACITATING INJURY","1","0","1","0","0","1","0","12","6","5","41.814092387","-87.691785383","POINT (-87.69178538349 41.814092386935)"
"7c061fae53844efa1e0e1107aef0a4d23287f397affc4be5ab494d0d2b5eab3f90fa8ba67bdcbdf6ccac912ebedca16c9bbc6c98a3e25c44ddef0b214e189202",,"2024-05-10T12:15:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$500 OR LESS","2024-05-10T13:20:00.000","FOLLOWING TOO CLOSELY","FOLLOWING TOO CLOSELY","3600","N","WESTERN AVE","1921",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","12","6","5","41.94681992","-87.688406662","POINT (-87.688406662062 41.946819919863)"
"c0872ed4148ba16ea8a53a40fc39a5c15436e35fcabab649ac50d294b785d699e58db34fee0acef12d779d746efd1da7ac39af36ec5eea49f6523725b64af727",,"2024-05-10T12:11:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","PEDALCYCLIST","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH","Y",,,"$500 OR LESS","2024-05-10T13:10:00.000","FAILING TO YIELD RIGHT-OF-WAY","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","4047","N","CLARK ST","1915",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","12","6","5","41.955684558","-87.662901264","POINT (-87.662901263547 41.955684557662)"
"2b628ee3b42060d2e23ec5ec8c7505e234144b67a66b1eb771e3f9ee8e40c530b5e63f7374b71efb25a1954b30f69eb362501545059df92ad71175aae9bcd25b",,"2024-05-10T12:00:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLOUDY/OVERCAST","DAYLIGHT","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","OVER $1,500","2024-05-10T15:25:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","NOT APPLICABLE","8700","S","ASHLAND AVE","2221",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","12","6","5","41.735696989","-87.663209544","POINT (-87.663209544457 41.735696988636)"
"40fe73baec9d32364934006f867ff87473c1df63b3dac7201fd7a8ed3cfdb5767991ffe164b6a7d8f9b59abc574580e2a42fddcd1933defee4f48072848a996c",,"2024-05-10T12:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$500 OR LESS","2024-05-10T13:30:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","1721","W","LE MOYNE ST","1433",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","12","6","5","41.908959561","-87.670967265","POINT (-87.670967265138 41.908959560601)"
"4474d673732009d0ed0574efa00866c60a5eebd70af3bbf300c8e200c4dce99c54eb778735850080506eefa7c40eae55e7f07d0b49141e281ca3f358436b4c9b",,"2024-05-10T11:57:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2024-05-10T12:08:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2200","E","95TH ST","413",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.722638971","-87.570469114","POINT (-87.570469114121 41.72263897072)"
"1d03d30c3a691dd90d6a3d10c4a527334fe629e92d0bc567007d650ad83077df983afdf39148f7d8c23076fff7574110642d45596dc0dd0213835a6b4183fa11",,"2024-05-10T11:55:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"$500 OR LESS","2024-05-10T11:57:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","7005","W","GRAND AVE","2512",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.923442348","-87.800992674","POINT (-87.800992673683 41.923442348467)"
"7e73c7db5f21afa9dab1e953b32613522f6e8cc1631188c67bb6b2a0aba6d644fc5b4d1bbb385efe4dcdaf1f2ecb6f40ac466072aeec2e67beef4b8b13871fd4",,"2024-05-10T11:50:00.000","30","STOP SIGN/FLASHER","UNKNOWN","CLOUDY/OVERCAST","DAYLIGHT","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2024-05-10T14:45:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","2000","N","KILBOURN AVE","2522",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.917105913","-87.738930725","POINT (-87.738930724811 41.917105912582)"
"b24a3271adb8e6c13e4c632b6302835425fe49a2d9efdfdb3d10ae600dc04df5cff19f174076dc6b2abd89b70ef60c80ab3766766007af4eaaceffd48d42c329",,"2024-05-10T11:45:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","TURNING","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T17:32:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1617","E","95TH ST","431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.722241317","-87.584380136","POINT (-87.5843801364 41.722241316659)"
"f7711ee547d5d371a587966f1d4ca97dd4a5141ddaf0fbcc8e7a3a3c2f2a971ed3f7aff09cc16f681b084e0a26ea7c74f33a092ce7dcc1422853c371d9bb031f",,"2024-05-10T11:45:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T17:40:00.000","IMPROPER BACKING","NOT APPLICABLE","7100","S","STONY ISLAND AVE","324",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","11","6","5","41.765928192","-87.586470078","POINT (-87.586470077922 41.76592819222)"
"11dfb3cc4b0e2aed342fc59461d966dfea1fdb17897f6791e360b667e8aa144309ce2a7109ef0e1388f6a4b9ebf39652d33791822c03fd04fd0479e4c685f1b9",,"2024-05-10T11:30:00.000","30","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","REAR TO FRONT","PARKING LOT",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,"Y",,"$500 OR LESS","2024-05-10T11:30:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5614","N","CLARK ST","2012",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.983952201","-87.669006164","POINT (-87.669006163545 41.983952200631)"
"84b8588ea4dd60c1a9af0890753b852e3acae3af729004c01075c64349762123833889d8cd7e45897919ce834c7ddb54f345f67ba30659c5e9c3c3f796ea8975",,"2024-05-10T11:30:00.000","25","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","ANGLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T12:16:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1152","N","WESTERN AVE","1212",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.902827978","-87.687168386","POINT (-87.687168386298 41.902827978222)"
"d43a0b97aa7775c70910718214d532b0f6211ef47646de462a3c10d23d03616180e13b82f78898b113563a455d0a5fa2122b878b7cf9b2ce9207398dccb3caa7",,"2024-05-10T11:30:00.000","35","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T11:35:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","10151","S","STATE ST","511",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","1","0","11","6","5","41.7092838","-87.623417968","POINT (-87.623417968383 41.709283800377)"
"fd41e62fae27d6c3a1e62b3edad071f92287dd342dba3dc40784be9c1bfa307637f4d32bbd9853a771ba227c910a6c3aa217c9bac7b493c30c7010ed6fb4aaa4",,"2024-05-10T11:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,"Y","$501 - $1,500","2024-05-10T11:45:00.000","IMPROPER LANE USAGE","NOT APPLICABLE","3145","S","ASHLAND AVE","912",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","11","6","5","41.836468348","-87.665566902","POINT (-87.665566902132 41.836468347729)"
"d83dc5bf052aafdd040fd1eb55b31963a992fffa33f8f6b309f0cbb2cbe6bd64b7204342221b63998eb094239d6851a2b760a709e777d5bced287744eb1971d5","N","2024-05-10T11:29:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"$500 OR LESS","2024-05-10T11:39:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5799","N","SHERIDAN RD","2022","N","N",,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.9872694","-87.655152638","POINT (-87.655152637991 41.98726940033)"
"f030efda99be7de41ad1ef226d91cb1304e05caa1f8e6c58c66cc7ac768669340492c047ff1fdfb4ac46dfe05bf938878acf9886d796047f6d89ad7e77bba727",,"2024-05-10T11:15:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T13:38:00.000","NOT APPLICABLE","NOT APPLICABLE","2801","W","55TH ST","824",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","11","6","5","41.793580011","-87.693855541","POINT (-87.693855541383 41.79358001142)"
"0d306093513c6c9211cc58629119a49bb28a43a55db87fa857669a46283af190aa7dd8c74ac4a2e35268a7c12ed3458710ed8be02b9bd77826123c0bf4000ffd",,"2024-05-10T11:10:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-05-10T11:14:00.000","IMPROPER OVERTAKING/PASSING","UNABLE TO DETERMINE","668","W","63RD ST","711",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.779893155","-87.642586569","POINT (-87.642586568509 41.77989315544)"
"cab7ea07ea4a9211fe4002b9ddfd4a7f23145db406e24cd2de6804b41038927024e86a204454d4006821d439ca42d4e7daff9280755edff50a2a470a503b8d86",,"2024-05-10T11:02:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T11:40:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2000","W","DIVERSEY PKWY","1931",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","11","6","5","41.932394164","-87.678173031","POINT (-87.678173030878 41.932394164037)"
"33a120e4b2f10e23c87b6645c072485cc9db2c6a7dfaf9a6ec641219a1b0faa5061151ff6e2a0dcfb7ca44edb7faa779c96ae842167839efb7907a78292a9f8a",,"2024-05-10T11:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T12:02:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","2911","S","ARCHER AVE","913",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","11","6","5","41.841484039","-87.658021978","POINT (-87.658021977562 41.841484039148)"
"2d4f9e76834a15cea34bc02f95a41881f0805a1007484d4916f6b00aa1fb6ffec3b16e5bf6c4031cecdbdaad419120663162edc10a3bc9c6aae3f7727983f35c",,"2024-05-10T10:50:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR TO FRONT","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,,"$501 - $1,500","2024-05-10T16:15:00.000","IMPROPER BACKING","FAILING TO REDUCE SPEED TO AVOID CRASH","759","N","LA SALLE DR","1832",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","10","6","5","41.896227429","-87.632555407","POINT (-87.632555406735 41.896227428677)"
"11b62b9db69a7511d4506c7a170ea958d446ea08c4c1d6fb60efb00eb03508f6bc5fbb7928719886111def9a0db36f76335e8e160af2a30d5096fb09a41d4153",,"2024-05-10T10:45:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR TO SIDE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T10:50:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4734","N","CUMBERLAND AVE","1614",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","10","6","5","41.966011401","-87.836831169","POINT (-87.836831169138 41.966011401336)"
"543cd0eb5b9c93393eab4297e7cb7ebe1d3bb5d6bafd526cd0288782a78b85c37b369baae51a4f1523f6e45ee21ce579b074247d1e777f784dd142c144094ec0",,"2024-05-10T10:30:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","UNKNOWN INTERSECTION TYPE",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-05-10T13:30:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","2505","E","73RD ST","334",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","10","6","5","41.762541419","-87.563876944","POINT (-87.563876944484 41.762541419051)"
"28558d3e8e98f1309c6f21ed97b4b34ce97547423e8a18cc20825f9c2282ec171b300d579f4332ee9fbd33b64aaa1a4a95fe99f3bb3d8d14fdf1810255ac7455",,"2024-05-10T10:25:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T10:35:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","10242","S","DR MARTIN LUTHER KING JR DR","511",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","10","6","5","41.707856502","-87.613928494","POINT (-87.613928493596 41.707856501735)"
"d7b9309066060eaa2da6ed23c63d217d6152c391072ee9d898b56b80850fa468ecb5e860ca8f026409946e4b56130ceb1db65172b07c1799eeafd019ce107a32",,"2024-05-10T10:25:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS",,"NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T11:35:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","3","W","43RD ST","215",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","10","6","5","41.816378512","-87.626394894","POINT (-87.626394893644 41.816378511947)"
"2badccb19a72eee67253aa0ff15324484e72b64081e10b9a360a6e74eb97bb1833cfe19739d83611f5f915145dd00a39b368dd53531c828820c0d5545eca67ed",,"2024-05-10T10:10:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-05-10T10:14:00.000","FAILING TO YIELD RIGHT-OF-WAY","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","2800","W","NORTH AVE","1421",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","3","0","10","6","5","41.910326668","-87.697085543","POINT (-87.697085543104 41.910326668179)"
"3e29e58cf70bcf0218e311eda68971f343977948593f8c97592ba3d2ee2e0f5d54cd10e2233610fcc32011ff000614373e4dc6ae6c4c26d701800eb3ba8f401b",,"2024-05-10T10:10:00.000","25","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2024-05-10T10:20:00.000","IMPROPER LANE USAGE","NOT APPLICABLE","1145","N","HALSTED ST","1822",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","3","0","10","6","5","41.902870506","-87.647905654","POINT (-87.647905653785 41.90287050612)"
"f425e9eccf6af747c725860b650f69947dffecc9e328c9648d1d9d513238393827ff747c175de1ee3ffc88035787ab0bb23301fadbcc0142862021073b95e913",,"2024-05-10T10:09:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T10:10:00.000","FAILING TO YIELD RIGHT-OF-WAY","UNABLE TO DETERMINE","48","E","16TH ST","131",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","10","6","5","41.860322318","-87.625404786","POINT (-87.625404786167 41.860322317876)"
"675132b7cd95bee7af8d96b7eeb94cb9c178160d78e85fec8186ca927277f83cbe4a8fbbfe81ea7f5a7c96e7bcc3976aae5277b4017c64ad1f6e102d9fe452cc",,"2024-05-10T10:05:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLOUDY/OVERCAST","DAYLIGHT","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2024-05-10T17:35:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST","8699","S","WESTERN AVE","614",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","10","6","5","41.735622945","-87.682370345","POINT (-87.682370344756 41.735622944654)"
"58bc6b5e38626e175fe5bf75057a99eb1ff8b9b3bcb1c468037100b70157f1da6a68236cb6bb0d45db3de2942dcfa8b493a2a7dc300b82a12457cc1126ac6b24",,"2024-05-10T10:00:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T11:00:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1622","W","CHASE AVE","2423",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","10","6","5","42.013933145","-87.671175601","POINT (-87.671175601395 42.013933144527)"
"ada3cf4e785d5635dc915cc45c70226c44f193ece1dc0292cab8a2f88fcac66bb3e1bd6bbd422091886563912536d526f53672293b37f3b2825553abd794113f",,"2024-05-10T09:50:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2024-05-10T14:23:00.000","IMPROPER OVERTAKING/PASSING","NOT APPLICABLE","1221","S","WABASH AVE","131",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","9","6","5","41.866831454","-87.625669609","POINT (-87.625669608957 41.866831454439)"
"85f172933678ef80e87c13d6be65fe0cb6dd8d72e3fe0a27ac9e38361e1c6efe8446e763748aa0e69b82531a0ab09e49bcd953bb97b1b4e5a303ea6f8fb822b9",,"2024-05-10T09:30:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2024-05-10T09:33:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","4200","S","DR MARTIN LUTHER KING JR DR","213",,,,,,,"2","NONINCAPACITATING INJURY","3","0","0","3","0","0","0","9","6","5","41.818386516","-87.616989907","POINT (-87.61698990732 41.818386516405)"
"e7b9097b0ed55ab8d76477a3549d88161554b6ecc0981be3ad18c5d413d4b7352516890fd13de9a965c2e14d9ff8cacd02226f7ab160473be9ca22ccf7dbfec0",,"2024-05-10T09:27:00.000","30","UNKNOWN","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2024-05-10T09:45:00.000","IMPROPER TURNING/NO SIGNAL","UNABLE TO DETERMINE","907","S","STATE ST","123",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","9","6","5","41.870396731","-87.62734367","POINT (-87.62734366989 41.870396730829)"
"df61af8d995bb466c3058490bc20134cdf02d5e4ce3d507fbff2c40a4daf24fe8afbfc3c89ef4deb63a9b66171485189471237c5485446932b606e4af40157a3",,"2024-05-10T09:25:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-05-10T09:28:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","UNABLE TO DETERMINE","6255","W","GRAND AVE","2512",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","0","0","9","6","5","41.921750088","-87.782692396","POINT (-87.782692395844 41.921750088472)"
